x,M1,M2,M3
1.04,2.3379618731301326,4.305555906055327,6.302277022872323
1.05,2.348237602902233,4.317393687122958,6.314353285775485
1.06,2.35834445572089,4.328989261753665,6.326170190111417
1.07,2.368285086713395,4.340348581733976,6.337734901830237
1.08,2.3780621266563715,4.351477437154382,6.349054341207645
1.09,2.387678181107412,4.362381460441814,6.3601351924846865
1.1,2.3971358296086227,4.373066130353679,6.370983913115515
1.11,2.406437624959214,4.3835367759274195,6.3816067426371355
1.12,2.415586092554272,4.3937985803802,6.392009711175001
1.13,2.42458372978691,4.403856584954072,6.402198647598064
1.14,2.433433005511065,4.413715692702478,6.412179187336626
1.15,2.442136359562222,4.423380672214607,6.421956779876064
1.16,2.4506962023334533,4.432856161274553,6.431536695939121
1.17,2.4591149144041893,4.442146670452752,6.440924034369214
1.18,2.467394846219205,4.451256586627593,6.450123728726752
1.19,2.475538317815381,4.460190176435462,6.459140553610198
1.2,2.483547618593854,4.468951589647914,6.4679791307131715
1.21,2.4914250071352586,4.477544862474921,6.476643934628548
1.22,2.4991727110557824,4.485973920793473,6.485139298410152
1.23,2.506792926901895,4.4942425833011015,6.493469418902213
1.24,2.5142878200816288,4.502354564594118,6.5016383618464895
1.25,2.5216595248303557,4.510313478170564,6.5096500667764605
1.26,2.5289101442091324,4.518122839358117,6.517508351707773
1.27,2.536041750133669,4.525786068167325,6.525216917633672
1.28,2.5430563834321185,4.533306492070727,6.532779352833834
1.29,2.549956053929915,4.540687348708553,6.540199137004704
1.3,2.55674274055996,4.5479317885218284,6.547479645219083
1.31,2.5634183914965227,4.555042877313787,6.554624151722379
1.32,2.5699849243112984,4.562023598740632,6.561635833572702
1.33,2.576444226150109,4.568876856732747,6.568517774131563
1.34,2.5827981539288096,4.575605477847519,6.57527296641175
1.35,2.589048534547022,4.5822122135550245,6.581904316288637
1.36,2.595197165118372,4.588699742457853,6.588414645580875
1.37,2.601245813215975,4.595070672446394,6.594806695006233
1.38,2.6071962171319423,4.601327542790955,6.601083127018015
1.39,2.6130500861497987,4.6074728261720885,6.607246528527313
1.4,2.618809100828668,4.613508930650541,6.613299413516083
1.41,2.6244749132982204,4.61943820157824,6.619244225545806
1.42,2.630049147563356,4.625262923451738,6.625083340166323
1.43,2.63553339981771,4.630985321709563,6.630819067229159
1.44,2.640929238765068,4.636607564474874,6.636453653109549
1.45,2.6462382059478204,4.642131764244891,6.641989282841067
1.46,2.6514618160816896,4.647559979528458,6.6474280821667255
1.47,2.6566015573959367,4.652894216433191,6.652772119510095
1.48,2.6616588919783277,4.658136430203581,6.65802340786996
1.49,2.66663525612418,4.6632885267114075,6.663183906641755
1.5,2.6715320606888575,4.668352363899855,6.66825552336897
1.51,2.676350691443064,4.67332975318262,6.6732401154274985
1.52,2.68109250943042,4.678222460799368,6.678139491645827
1.53,2.6857588513267316,4.6830322091287755,6.682955413863757
1.54,2.6903510298004747,4.687760677960458,6.687689598432327
1.55,2.6948703338740074,4.692409505727021,6.6923437176573835
1.56,2.69931802928506,4.696980290697393,6.696919401189189
1.57,2.7036953588481083,4.701474592132709,6.701418237360367
1.58,2.7080035428152,4.705893931405827,6.705841774474306
1.59,2.7122437792359166,4.710239793085625,6.710191522046139
1.6,2.7164172443160823,4.714513625987228,6.714468951998228
1.61,2.720525092774952,4.718716844189147,6.718675499812085
1.62,2.7245684582005456,4.722850828018462,6.72281256563849
1.63,2.7285484534028814,4.7269169250050265,6.726881515367574
1.64,2.732466170764845,4.730916450805658,6.730883681660447
1.65,2.736322682590473,4.734850690099351,6.734820364943999
1.66,2.740119041450415,4.738720897454355,6.738692834370354
